cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
23450854000175,23450854,MATRIZ,WS TECH - SOLUCOES EM T I EIRELI,SIM,115000
23507330000173,23507330,MATRIZ,DIEGO GAFFORELLI PERFEITO,SIM,10000
23516468000139,23516468,MATRIZ,APPIX - INOVACAO EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000
23595125000107,23595125,MATRIZ,TRESOR BRASIL CONSULTORIA EIRELI,NAO,80000
23635781000196,23635781,MATRIZ,SOLLAR ONE TECNOLOGIA LTDA,NAO,80000
23773859000139,23773859,MATRIZ,ATM 2 SOLUCOES EM TECNOLOGIA LTDA,SIM,10000
24153353000190,24153353,MATRIZ,SELFLESS PRODUTORA LTDA,SIM,100000
24196301000109,24196301,MATRIZ,TRIXX SERVICOS DE INFORMACAO LTDA,NAO,10000
24232219000184,24232219,MATRIZ,UP CONTACT CENTER EIRELI,SIM,89000
24232254000101,24232254,MATRIZ,BERGHAHN DESENVOLVIMENTO DE NEGOCIOS LTDA,SIM,20000
24353595000127,24353595,MATRIZ,EXITUS EMPRESARIAL CONSULTORIA EIRELI,SIM,90000
24362619000104,24362619,MATRIZ,CCS NEGOCIOS & ASSESSORIA EIRELI,SIM,88000
24582772000147,24582772,MATRIZ,"GOI & PEREZ CONSULTORIA, SERVICOS, VENDAS E LOCACOES LTDA",NAO,15000
24586847000168,24586847,MATRIZ,PIXELWOLF CONSULTORIA EM TECNOLOGIA LTDA,NAO,20000
24608207000101,24608207,MATRIZ,MULTIPLA ARQUITETURA E GERENCIAMENTO DE SERVICOS LTDA,SIM,25000
24642438000131,24642438,MATRIZ,ALF CONSULTORIA LTDA,NAO,15000
24642661000189,24642661,MATRIZ,4SOLVE SOFTWARES LTDA,SIM,20000
24688226000195,24688226,MATRIZ,MV TECH SOLUCOES TECNOLOGICAS LTDA,SIM,10000
24762992000152,24762992,MATRIZ,DECOSTORE INFORMACAO E TECNOLOGIA LTDA.,SIM,100000
24980717000105,24980717,MATRIZ,R. A. DE ARAUJO ANTONIAZZI GEOPROCESSAMENTO E TOPOGRAFIA,SIM,6000
25239083000105,25239083,MATRIZ,ESCOTTA CONSULTORIA LTDA,NAO,200000
25245543000108,25245543,MATRIZ,UNI ENTERPRISE SOLUCOES INTELIGENTES EIRELI,SIM,110000
25275126000108,25275126,MATRIZ,ARC TECNOLOGIA E DESENVOLVIMENTO LTDA,NAO,75000
25275641000180,25275641,MATRIZ,PRISMATECH ASSESSORIA EM SISTEMAS DE INFORMATICA EIRELI,SIM,90000
25285557000147,25285557,MATRIZ,ROBOTIMIZE LTDA,SIM,88000
25341444000111,25341444,MATRIZ,CORE SOLUTIONS - AUTOMACAO TECNOLOGICA LTDA,SIM,13000
25533119000150,25533119,MATRIZ,WARP TECNOLOGIA LTDA,SIM,25000
26114425000115,26114425,MATRIZ,EUQUEROINVESTIR TECNOLOGIA LTDA,NAO,88000
26116642000144,26116642,MATRIZ,GP VENTURES LTDA,NAO,600000
26126319000151,26126319,MATRIZ,PERFORMANCE PROCESSOS SUPORTE E CONSULTORIA EM GESTAO EMPRESARIAL EIRELI,NAO,110000
26181064000120,26181064,MATRIZ,MAPA SA - CONSULTORIA E ANALISES SOCIOAMBIENTAIS LTDA,SIM,10000
26214713000141,26214713,MATRIZ,N&J PARTNERS CONSULTORIA E SERVICOS EM INFORMATICA LTDA,NAO,10000
26225132000105,26225132,MATRIZ,INTERANET SOLUCOES EM TI LTDA,SIM,500000
26263353000178,26263353,MATRIZ,BM SISTEMAS DE ANALISE DE DADOS EIRELI,SIM,93700
26346174000102,26346174,MATRIZ,42 SOLUCOES DIGITAIS LTDA,NAO,10000
26468924000100,26468924,MATRIZ,X4 AUTOMACOES LTDA,SIM,10000
26469808000106,26469808,MATRIZ,INLINE TECNOLOGIA EIRELI,SIM,95400
26686159000103,26686159,MATRIZ,AD SOLUCOES DIGITAIS LTDA,SIM,50000
26756002000107,26756002,MATRIZ,ROMARIO ROSA DE ALMEIDA GESTAO EM SAUDE EIRELI,SIM,88000
26771369000191,26771369,MATRIZ,DHARMA DIGITAL - CONSULTORIA E ASSESSORIA DE GESTAO COMERCIAL LTDA.,SIM,10000
26893432000162,26893432,MATRIZ,LSB CRONOS GESTAO DE PRODUCAO LTDA,NAO,10000
26960108000110,26960108,MATRIZ,OPENCONNECT SISTEMAS DE INFORMACAO E TECNOLOGIA LTDA,SIM,10000
27003628000105,27003628,MATRIZ,H SOURCE IT TECNOLOGIA DA INFORMACAO LTDA.,NAO,790000
27090363000111,27090363,MATRIZ,ZERO TI TECNOLOGIA DA INFORMACAO LTDA,SIM,101010
27100089000114,27100089,MATRIZ,DDS CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,SIM,93700
27106994000181,27106994,MATRIZ,ANDREIA APARECIDA DE OLIVEIRA CORDEIRO EIRELI,SIM,93700
27299019000137,27299019,MATRIZ,ITA INFRA ESTRUTURA DE TELECOM EIRELI,SIM,100000
27372850000177,27372850,MATRIZ,GUEDES CONSULTORES LTDA.,NAO,20000
27456547000152,27456547,MATRIZ,SEO EXPERTS CONSULTORIA EM TECNOLOGIA DA INFORMATICA EIRELI,SIM,93700
27481416000125,27481416,MATRIZ,WLAN REDES SEM FIO SERVICOS EM TECNOLOGIA LTDA,SIM,15000
27649569000139,27649569,MATRIZ,H. DE PAULA SOUZA JUNIOR - CONSULTORIA EM INFORMATICA,SIM,10000
27667548000146,27667548,MATRIZ,HS2 SERVICOS E SOLUCOES DE INFORMATICA LTDA,NAO,100000
27982288000101,27982288,MATRIZ,I. RAMOS & SANTOS CONSULTORIA E ASSESSORIA LTDA,SIM,10000
28027289000151,28027289,MATRIZ,PARTNER SHARE ASSESSORIA E CONSULTORIA EM INFORMATICA EIRELI,NAO,150000
28027477000180,28027477,MATRIZ,CONSULEXPRESS ASSESSORIA E CONSULTORIA EM INFORMATICA EIRELI,NAO,150000
28082914000168,28082914,MATRIZ,RAVAGLIO E SAAB TECNOLOGIA E GESTAO LTDA,SIM,10000
28218561000180,28218561,MATRIZ,BCS ASSESSORIA E CONSULTORIA EM INFORMATICA EIRELI,NAO,150000
28232830000163,28232830,MATRIZ,RODRIGO ARDIGO CONSULTORIA,SIM,10000
28241746000106,28241746,MATRIZ,WITCRED CONSULTORIA EIRELI,SIM,95000
28336299000179,28336299,MATRIZ,PROGRES TECNOLOGIA LTDA,SIM,10000
28340957000104,28340957,MATRIZ,SS CONSULTORIA LTDA,SIM,10000
28341460000100,28341460,MATRIZ,CDC TECNOLOGIA LTDA,NAO,12000
28396501000158,28396501,MATRIZ,DYCK & SANTOS LTDA,SIM,7500
28494539000163,28494539,MATRIZ,GAMMALINK SERVICO DE INFORMATICA LTDA,NAO,100000
28517714000190,28517714,MATRIZ,WTIT GESTAO E CONSULTORIA DE INFORMATICA LTDA,SIM,10000
29030375000186,29030375,MATRIZ,INDICE INFORMATICA EIRELI,SIM,95000
29040042000138,29040042,MATRIZ,LOY SA,NAO,100000
29116537000101,29116537,MATRIZ,BEXPO TRANSFORMACAO E INOVACAO LTDA,SIM,12000
29152144000145,29152144,MATRIZ,DANIELA CUNHA LIMA,SIM,10000
29190191000183,29190191,MATRIZ,SPIN INTELIGENCIA EMPRESARIAL LTDA,NAO,10000
29230277000192,29230277,MATRIZ,INFOTECH ASSISTENCIA E SUPORTE EM TI LTDA,SIM,6000
29309746000163,29309746,MATRIZ,GO4 TECNOLOGIA DA INFORMACAO LTDA,SIM,960000
29432024000100,29432024,MATRIZ,ITRK TECNOLOGIA DA INFORMACAO LTDA,SIM,60000
29472136000186,29472136,MATRIZ,IT+ GESTAO E TECNOLOGIA - EIRELI,SIM,93700
29636554000161,29636554,MATRIZ,GILGRID APLICATIVOS LTDA,SIM,96000
29723917000104,29723917,MATRIZ,MARCOS FABIANO MENDES DE SIQUEIRA,SIM,10000
29753819000101,29753819,MATRIZ,JLV ENGENHARIA TECNOLOGIA E SOFTWARE LTDA,SIM,50000
29814528000186,29814528,MATRIZ,P2P BUSINESS SOLUTIONS - EIRELI,SIM,100000
29832432000140,29832432,MATRIZ,RAISEHANDS SOLUCOES ONLINE LTDA,SIM,100000
29920323000185,29920323,MATRIZ,TOLFO & KRABBE INFORMATICA LTDA,SIM,12000
29920563000180,29920563,MATRIZ,DPC CONSULTORIA LTDA,NAO,12000
30025695000127,30025695,MATRIZ,IMEDIATUM TECNOLOGIA LTDA,SIM,100000
30033125000189,30033125,MATRIZ,HC CONSULTORIA EM TECNOLOGIA LTDA,SIM,10000
30043931000138,30043931,MATRIZ,TAX PAYMENTS TECNOLOGIA EM MEIOS DE PAGAMENTOS EIRELI,SIM,100000
30148342000114,30148342,MATRIZ,AGRINESS EDGE TECNOLOGIA S.A.,NAO,134478
30280646000130,30280646,MATRIZ,ANGOS STUDIO LTDA,SIM,30000
30281605000169,30281605,MATRIZ,RALTEC TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
30303839000160,30303839,MATRIZ,FCE TECNOLOGIA DA INFORMACAO EIRELI,NAO,95400
30310764000144,30310764,MATRIZ,INTELPRICE SOLUCOES DE PRECIFICACAO LTDA,SIM,300000
30339718000178,30339718,MATRIZ,NEXTHOP SOLUTIONS - CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,SIM,150000
30351627000158,30351627,MATRIZ,RAFAEL DA LUZ VAZ - COMERCIO E CONSULTORIA TECNOLOGIA EIRELI,SIM,95400
30517691000166,30517691,MATRIZ,LUCIANO JOHNSON CONSULTORIA EM TI,SIM,10000
30580414000106,30580414,MATRIZ,BT TECNOLOGIA LTDA.,NAO,10000
30750260000145,30750260,MATRIZ,ADVBOX CONSULTORIA E TECNOLOGIA LTDA,SIM,104000
30816395000166,30816395,MATRIZ,WA SOLUTIONS CONSULTORIA EIRELI,SIM,95400
30863642000185,30863642,MATRIZ,ATENA CONSULTORIA EM ERP & TI LTDA,NAO,50000
30975075000159,30975075,MATRIZ,PEDRO ERNESTO THEOBALD PRA,SIM,10000
31079657000110,31079657,MATRIZ,HI-LAW CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
31092609000161,31092609,MATRIZ,ITOS TECNOLOGIA DA INFORMACAO EIRELI,NAO,100000
31137926000157,31137926,MATRIZ,LAMARQUES E CIA LTDA,SIM,100000
31160141000103,31160141,MATRIZ,LOGLOG TECNOLOGIA LTDA,NAO,10000
31168095000180,31168095,MATRIZ,BIM START SERVICOS TECNOLOGICOS LTDA.,NAO,15000
31233387000150,31233387,MATRIZ,WORKX IT SOLUCOES E SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,20000
31264122000119,31264122,MATRIZ,VEXPRO SOLUCOES EM TECNOLOGIA LTDA,NAO,20000
31289053000106,31289053,MATRIZ,CONTROLE3G CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,95400
31417599000197,31417599,MATRIZ,WEILLER E VARGAS LTDA,NAO,20000
31436767000191,31436767,MATRIZ,FELIPE SOUZA DORE,NAO,10000
31452043000131,31452043,MATRIZ,INTELCOMP TECNOLOGIA & GESTAO DE TI LTDA,SIM,25000
31554667000160,31554667,MATRIZ,"MPTECH PROJETOS, SERVICOS E SOLUCOES EM TECNOLOGIA LTDA.",NAO,10000
31569523000187,31569523,MATRIZ,CAP RATE CONSULTORIA EM TECNOLOGIA DA INFORMACAO E CORRESPONDENTE FINANCEIRO LTDA.,NAO,10000
31625732000109,31625732,MATRIZ,HOMEX TECNOLOGIA LTDA,SIM,50000
31627865000106,31627865,MATRIZ,CGBHOME CONSULTORIA E ASSESSORIA EMPRESARIAL - EIRELI,SIM,100000
31721284000139,31721284,MATRIZ,JUTAY MARCELO FARIAS DE MEDEIROS - KISHRON,SIM,10000
31764349000123,31764349,MATRIZ,C. K. SOLANO,SIM,10000
31881132000101,31881132,MATRIZ,DIOGO ROMEO SOLUCOES EM TECNOLOGIA E INOVACAO,SIM,30000
32116856000113,32116856,MATRIZ,POLIS INFORMATICA LTDA - SCP,NAO,10000
32177085000174,32177085,MATRIZ,ATDM CONSULTORIA EMPRESARIAL LTDA,NAO,95400
32214357000169,32214357,MATRIZ,DATABZNESS CONSULTORIA EM TI LTDA,SIM,10000
32244389000107,32244389,MATRIZ,R. REOLON - CONSULTORIA EM GESTAO,SIM,10000
32416966000109,32416966,MATRIZ,C S I DE ALMEIDA TECNOLOGIA DA INFORMACAO,SIM,250000
32494446000106,32494446,MATRIZ,SENSO ESTRATEGIA MULTI CANAIS S.A.,NAO,200000
32548626000123,32548626,MATRIZ,ECOTEC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA.,NAO,100000
32568380000151,32568380,MATRIZ,UB CONSULTORIA EMPRESARIAL EIRELI,SIM,100000
32901739000160,32901739,MATRIZ,TOPSOLUTION SOLUCOES EM TECNOLOGIA EIRELI,SIM,99800
32947076000115,32947076,MATRIZ,ALESSANDRO CIPRIANO NOGUEIRA,NAO,30000
33041999000176,33041999,MATRIZ,NETPROJ CONSULTORIA E ASSESSORIA PARA TRANSFORMACAO DIGITAL INTELIGENTE LTDA,SIM,90000
33067005000190,33067005,MATRIZ,DALMIR CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1100000
33079420000164,33079420,MATRIZ,LESSEN TECH CONSULTORIA E MARKETING LTDA,SIM,50000
33145309000129,33145309,MATRIZ,AVATO SERVICOS DE TI LTDA,NAO,100000
33301348000178,33301348,MATRIZ,LINKMESH TECNOLOGIA DA INFORMACAO LTDA,SIM,100000
33332029000120,33332029,MATRIZ,INTERGALAXY HOLDINGS SA,NAO,12575391
33389754000134,33389754,MATRIZ,POLYEDRUM - CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000
33427638000162,33427638,MATRIZ,LB CONSULTORIA EM TI EIRELI,NAO,100000
33468050000157,33468050,MATRIZ,PRIVACY TOOLS CONSULTORIA EM TECNOLOGIA LTDA,SIM,6000
33639035000124,33639035,MATRIZ,MARIO HENRIQUE ROCHA AZZOLINI & CIA LTDA,SIM,100000
33736420000190,33736420,MATRIZ,E.NEVES CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA.,SIM,20000
33750232000116,33750232,MATRIZ,2MIT - PROJETOS E SERVICOS DE ENGENHARIA DE SOFTWARE E AUTOMACAO INDUSTRIAL IT & AT LTDA,SIM,20000
33808438000150,33808438,MATRIZ,METODO IT TREINAMENTOS E SERVICOS DE INFORMATICA LTDA,SIM,20000
33899321000129,33899321,MATRIZ,DOMINUS ASSESSORIA E CONSULTORIA EM TI LTDA,SIM,12000
33967536000130,33967536,MATRIZ,NEWAGENT CONSULTORIA LTDA,NAO,25000
34023303000141,34023303,MATRIZ,D R FABER CONSULTORIA E TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
34026711000157,34026711,MATRIZ,FLOWDRIVE DESENVOLVIMENTO DE SOLUCOES PARA NEGOCIOS LTDA,SIM,99800
34121443000152,34121443,MATRIZ,COOGNICAO CONSULTORIA E TREINAMENTO LTDA,SIM,10000
34132808000144,34132808,MATRIZ,FLAVIO NONES PROCESSAMENTO DE DADOS EIRELI,SIM,100000
34269413000198,34269413,MATRIZ,ALFREDO SCHROEDER NETO CONSULTORIA EM TI,SIM,8000
34289648000141,34289648,MATRIZ,SAFE CLOUD CONSULTORIA EM TECNOLOGIA LTDA,SIM,120000
34433851000140,34433851,MATRIZ,OTTO TECNOLOGIA E DESENVOLVIMENTO DE SOFTWARE S.A.,NAO,3500000
34525284000151,34525284,MATRIZ,ZEROBOX SERVICOS EM COMPUTACAO NA NUVEM LTDA,NAO,30000
34553881000190,34553881,MATRIZ,M99 SISTEMAS E ENGENHARIA LTDA,SIM,49900
34554363000190,34554363,MATRIZ,ANELLO TECNOLOGIA LTDA,SIM,50000
34660346000138,34660346,MATRIZ,DATARUNK SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,SIM,40000
34719768000131,34719768,MATRIZ,D-LOG TECNOLOGIA DA INFORMACAO EIRELI,SIM,110000
34829222000133,34829222,MATRIZ,SHERPA SOLUCOES EM SISTEMAS DE INFORMACAO LTDA,SIM,15000
34849750000154,34849750,MATRIZ,DATAFROST TECNOLOGIA DA INFORMACAO LTDA.,NAO,500000
34914613000156,34914613,MATRIZ,DJEISON ALBERTO KANITZ LTDA,SIM,40000
34952866000114,34952866,MATRIZ,CONTROLDATA TECNOLOGIA LTDA,NAO,10000
35054380000121,35054380,MATRIZ,OCTIS CONSULTORIA LTDA,SIM,9000
35063002000104,35063002,MATRIZ,D2SMART CONSULTORIA EM TECNOLOGIA LTDA,SIM,10000
35118515000175,35118515,MATRIZ,PLYS SERVICOS DE TECNOLOGIA LTDA,SIM,15000
35140820000163,35140820,MATRIZ,COINOVAC CONSULTORIA EM INFORMATICA LTDA,NAO,20000
35259520000106,35259520,MATRIZ,JOINSAP CONSULTORIA LTDA,SIM,60000
35324257000183,35324257,MATRIZ,VANZETTO E CAMPOS CONSULTORIA EM SOFTWARE LTDA,SIM,58000
35362926000101,35362926,MATRIZ,ADAC TECNOLOGIA DE INFORMACAO LTDA,SIM,40000
35417709000171,35417709,MATRIZ,BINSTORM CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
35486795000174,35486795,MATRIZ,A2CORP CONSULTORIA E EVENTOS EIRELI,SIM,99800
35585732000175,35585732,MATRIZ,DEX IT SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
35587650000160,35587650,MATRIZ,MEXTECH CONSULTORIA TECNOLOGICA LTDA,SIM,10000
35630160000107,35630160,MATRIZ,BIM START SERVICOS TECNOLOGICOS LTDA - SCP,NAO,335000
35647638000101,35647638,MATRIZ,SKY SEND FACILITADORA DE SERVICOS DE TECNOLOGIA LTDA,NAO,100000
35679751000160,35679751,MATRIZ,ARTUR FELIPE WENDLING LTDA,SIM,20000
35749625000135,35749625,MATRIZ,CONCAT ALL - SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
35801157000109,35801157,MATRIZ,RASTRA SERVICO DE TECNOLOGIA SUSTENTAVEL LTDA,NAO,6000
36005539000180,36005539,MATRIZ,MAGNADATA PRESTACAO DE SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
36058673000140,36058673,MATRIZ,JOAO GUILHERME CORREA HARGER,SIM,20000
36152755000159,36152755,MATRIZ,DX.CO DESENVOLVIMENTO DE SOFTWARE LTDA.,NAO,2478490
36260526000158,36260526,MATRIZ,JOY SOLUCOES E TECNOLOGIA LTDA,SIM,50000
36325775000184,36325775,MATRIZ,MAX SISTEMAS DE INFORMATICA E CONSULTORIA FINANCEIRA LTDA,NAO,100000
36348088000184,36348088,MATRIZ,REND - SERVICOS DE TECNOLOGIA DE INFORMACAO LTDA,SIM,10000
36353517000101,36353517,MATRIZ,ABRANTECK TI SOLUCOES EMPRESARIAIS LTDA,SIM,10000
36467291000170,36467291,MATRIZ,TK TECHNOLOGIES CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
36474896000198,36474896,MATRIZ,JONAS TERTULIANO DOS SANTOS EIRELI,SIM,104500
36498908000114,36498908,MATRIZ,SAFE TI CONSULTORIA EM INFORMATICA LTDA,NAO,6000
36526329000138,36526329,MATRIZ,CXD CONSULTORIA E DESENVOLVIMENTO EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
36562986000130,36562986,MATRIZ,4LABS TECNOLOGIA DA INFORMACAO E CIENCIA DE DADOS LTDA,NAO,60000
36568185000182,36568185,MATRIZ,MBL DESENVOLVIMENTO TECNOLOGICO LTDA,SIM,30000
36570041000160,36570041,MATRIZ,RTC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,20000
36718756000118,36718756,MATRIZ,ALCANCE CONSULTORIA DE MARKETING LTDA,SIM,30000
36820730000186,36820730,MATRIZ,SAFERA - ASSESSORIA E CONSULTORIA EM PROTECAO DE DADOS LTDA,SIM,100000
36869780000158,36869780,MATRIZ,TAG TECNOLOGIA EM GESTAO DE PAGAMENTOS S/A,NAO,500000
36909144000102,36909144,MATRIZ,INFOREJO CONSULTORIA EM TECNOLOGIA LTDA,NAO,50000
36949399000107,36949399,MATRIZ,GFISCHER CONSULTORIA E TECNOLOGIA EIRELI,SIM,104500
36993305000199,36993305,MATRIZ,NAXI SERVICO DE TECNOLOGIA E CONSULTORIA LTDA,NAO,10000
37077182000109,37077182,MATRIZ,EMAILVERITAS TECNOLOGIA LTDA,SIM,20000
37177621000155,37177621,MATRIZ,E.S.T - SOLUCOES TECNOLOGICAS LTDA,SIM,30000
37229264000121,37229264,MATRIZ,PRUMO SERVICOS DE CONSULTORIA EM E-COMMERCE LTDA,SIM,10000
37532711000117,37532711,MATRIZ,ALEXANDRE AUGUSTO DIAS RAMOS HUFFELL VIOLA,SIM,50000
37557245000124,37557245,MATRIZ,VPX TECNOLOGIA LTDA,NAO,100000
37557582000111,37557582,MATRIZ,MOTTA E MOTTA SERVICOS DE TECNOLOGIA E CONSULTORIA LTDA,SIM,228000
37612212000130,37612212,MATRIZ,R & A CONSULTORIA LTDA,SIM,10000
37650364000127,37650364,MATRIZ,PRIMORDIALL TECNOLOGIA & NEGOCIOS LTDA,NAO,30000
37671084000103,37671084,MATRIZ,IOTRIXX SOLUCOES EM INFORMATICA E COMUNICACAO LTDA,SIM,60000
37915955000189,37915955,MATRIZ,TYPHOON HIL (BR) CONSULTORIA E TREINAMENTO DE SOFTWARE LTDA,SIM,10000
38007294000156,38007294,MATRIZ,G&D TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
38028982000100,38028982,MATRIZ,AGAPYS TECNOLOGIA DA INFORMACAO RPAIDEA LTDA,NAO,10000
38045543000106,38045543,MATRIZ,MERAKI CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
38212298000176,38212298,MATRIZ,PSAINFO PRESTACAO DE SERVICOS DE INFORMATICA LTDA - SCP 002,NAO,20000
38235218000106,38235218,MATRIZ,RICARDO SANTOS CONSULTORIA EM SOFTWARE LTDA.,NAO,10000
38560118000147,38560118,MATRIZ,CARUSO TECNOLOGIA & INTELIGENCIA GEOGRAFICA LTDA,NAO,100000
38560722000173,38560722,MATRIZ,WR CONSULT LTDA,SIM,10000
38597881000142,38597881,MATRIZ,X.DIGITAL BRASIL SEGURANCA DA INFORMACAO LTDA,SIM,250000
38731500000176,38731500,MATRIZ,ACTA TECH SERVICOS DE CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,12000
39233445000157,39233445,MATRIZ,I HUMAN TECNOLOGIA CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000
39355783000161,39355783,MATRIZ,BERGOLD TECH CONSULTORIA EIRELI,SIM,200000
39416257000164,39416257,MATRIZ,INTEPEX SOLUCOES LTDA,SIM,25000
39456186000123,39456186,MATRIZ,MICHELLI DA SILVA COSTA,SIM,10000
39469328000197,39469328,MATRIZ,MIVA TECNOLOGIA LTDA,SIM,20000
39485326000191,39485326,MATRIZ,R & R ALVES DA SILVA CONSULTORIA LTDA,SIM,30000
39565812000110,39565812,MATRIZ,REZENA TI LTDA,SIM,10000
39679772000137,39679772,MATRIZ,ALLIE TECNOLOGIA LTDA,NAO,20000
39836609000130,39836609,MATRIZ,BIODATA CONSULTORIA EM AVALIACAO GENETICA E CIENCIA DE DADOS LTDA.,SIM,40000
40019793000105,40019793,MATRIZ,MAASLO CONSULTORIA LTDA,SIM,10000
40194256000100,40194256,MATRIZ,ERUTRON TECNOLOGIA LTDA,SIM,50000
40240560000138,40240560,MATRIZ,C. GERLING,SIM,15000
40414919000146,40414919,MATRIZ,MADATECH SERVICOS DIGITAIS LTDA,NAO,15000
40510812000100,40510812,MATRIZ,CECHET SOFTWARE SOLUTIONS LTDA,SIM,10000
40572288000193,40572288,MATRIZ,VHL CONSULTORIA EM TI LTDA,SIM,10000
40590793000160,40590793,MATRIZ,PSAINFO PRESTACAO DE SERVICOS DE INFORMATICA LTDA - SCP 003,NAO,20000
40751154000130,40751154,MATRIZ,RUAN GERVASI LTDA,SIM,10000
40877677000127,40877677,MATRIZ,"CARDOSO PEREIRA & SOFIA BAPTISTA - TECNOLOGIAS DA INFORMACAO, LDA DO BRASIL",NAO,30000
40909361000170,40909361,MATRIZ,C XAVIER DA SILVA - CONSULTORIA,SIM,10000
40942231000139,40942231,MATRIZ,VELVET DESENVOLVIMENTO DE SOFTWARE LTDA,SIM,20000
41011151000122,41011151,MATRIZ,L&S CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
41045580000110,41045580,MATRIZ,G.N.S SOLUCOES EM TECNOLOGIA DE INFORMACAO LTDA,NAO,10000
41138337000147,41138337,MATRIZ,GLA. SOLUTIONS LTDA,SIM,15000
41273734000121,41273734,MATRIZ,HD DEVFORCE LTDA,SIM,10000
41368252000155,41368252,MATRIZ,REVIRAVOLTA LOCAL COMUNICACAO E TECNOLOGIA LTDA.,SIM,10000
41418108000186,41418108,MATRIZ,IGREE SIGN INFORMATICA LTDA,NAO,10000
56350820000168,56350820,MATRIZ,VON BARANOW INFORMATICA LTDA,SIM,50000
78267408000111,78267408,MATRIZ,SD SISTEMAS EIRELI,NAO,62500
79636379000180,79636379,MATRIZ,SOFT ONE CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,565320
79850954000143,79850954,MATRIZ,E.R.B.INFORMATICA LTDA,NAO,12000
80005374000139,80005374,MATRIZ,DWM CONSULTORIA LTDA,NAO,10000
80921489000173,80921489,MATRIZ,MAPTRIZ CONSULTORIA E TECNOLOGIA LTDA,SIM,500000
81236770000130,81236770,MATRIZ,ESFERA INFORMATICA EIRELI,NAO,100000
81530685000180,81530685,MATRIZ,JEFERSON PINHEIRO BERNARDO E CIA LTDA,SIM,30000
82160219000112,82160219,MATRIZ,CELTEC TECNOLOGIA EIRELI,NAO,100000
84785179000120,84785179,MATRIZ,J. S. MARINGA SOFTWARE LTDA,NAO,6000
85049070000197,85049070,MATRIZ,PRODIGIT SISTEMAS DE INFORMATICA LTDA.,NAO,60000
85274306000199,85274306,MATRIZ,MICROSERVICE TECNOLOGIA DA INFORMACAOLTDA,NAO,180000
86703337000180,86703337,MATRIZ,INTEROP INFORMATICA LTDA,NAO,546000
93317410000141,93317410,MATRIZ,SISNEMA SOLUCOES TECNOLOGICAS EM INFORMATICA LTDA,NAO,100000
93861557000106,93861557,MATRIZ,SERVICE INFORMATICA LTDA,NAO,3505587
94392966000165,94392966,MATRIZ,C.A. DA SILVA ORLING,NAO,20000
95033668000141,95033668,MATRIZ,PROMIDIA SERVICOS DE INTEGRACAO EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,120000
95125332000109,95125332,MATRIZ,CONNECTION CONECTIVIDADE E INTEGRACAO DE SISTEMAS LTDA,NAO,90000
